Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
Vatajatadi Svarasa,Arthritis,"Pregnancy, Diabetes","Analgesic, Muscle Relaxant",Vatajatadi (Various herbs) blend extract,"Anti-inflammatory, Analgesic, Immunomodulatory"
Vatajatadi Svarasa,Muscle Relaxation,"Pregnancy, Diabetes","Analgesic, Muscle Relaxant",Vatajatadi (Various herbs) blend extract,"Anti-inflammatory, Analgesic, Immunomodulatory"
Karanja Svarasa,Skin Disorders,"Pregnancy, Allergic Reactions, Liver Disease","Anti-itching, Anti-inflammatory",Karanja (Pongamia pinnata) seed extract,"Antimicrobial, Antioxidant, Anti-inflammatory"
Karanja Svarasa,Eczema,"Pregnancy, Allergic Reactions, Liver Disease","Anti-itching, Anti-inflammatory",Karanja (Pongamia pinnata) seed extract,"Antimicrobial, Antioxidant, Anti-inflammatory"
Karanja Svarasa,Psoriasis,"Pregnancy, Allergic Reactions, Liver Disease","Anti-itching, Anti-inflammatory",Karanja (Pongamia pinnata) seed extract,"Antimicrobial, Antioxidant, Anti-inflammatory"
Kuriltea Svarasa,Joint Pain,"Pregnancy, Allergic Reactions","Analgesic, Muscle Relaxant",Kuriltea (Eclipta alba) plant extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Kuriltea Svarasa,Inflammation,"Pregnancy, Allergic Reactions","Analgesic, Muscle Relaxant",Kuriltea (Eclipta alba) plant extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Kuriltea Svarasa,Muscle Relaxation,"Pregnancy, Allergic Reactions","Analgesic, Muscle Relaxant",Kuriltea (Eclipta alba) plant extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Haridra Svarasa,Inflammation,"Pregnancy, Bleeding Disorders","Anti-inflammatory, Antiallergic",Haridra (Curcuma longa) rhizome extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Haridra Svarasa,Skin Disorders,"Pregnancy, Bleeding Disorders","Anti-inflammatory, Antiallergic",Haridra (Curcuma longa) rhizome extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Haridra Svarasa,Allergies,"Pregnancy, Bleeding Disorders","Anti-inflammatory, Antiallergic",Haridra (Curcuma longa) rhizome extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Khadira Patra Svarasa,Oral Health,"Pregnancy, Hypoglycemia","Astringent, Digestive",Khadira Patra (Acacia catechu leaf) extract,"Antimicrobial, Astringent, Anti-inflammatory"
Khadira Patra Svarasa,Gum Problems,"Pregnancy, Hypoglycemia","Astringent, Digestive",Khadira Patra (Acacia catechu leaf) extract,"Antimicrobial, Astringent, Anti-inflammatory"
Khadira Patra Svarasa,Digestive Health,"Pregnancy, Hypoglycemia","Astringent, Digestive",Khadira Patra (Acacia catechu leaf) extract,"Antimicrobial, Astringent, Anti-inflammatory"
Tamala Patra Svarasa,Digestive Disorders,"Pregnancy, Allergic Reactions, Liver Disease","Digestive, Antidiarrheal",Tamala Patra (Cinnamomum tamala leaf) extract,"Antioxidant, Anti-inflammatory, Antimicrobial"
Tamala Patra Svarasa,Diarrhea,"Pregnancy, Allergic Reactions, Liver Disease","Digestive, Antidiarrheal",Tamala Patra (Cinnamomum tamala leaf) extract,"Antioxidant, Anti-inflammatory, Antimicrobial"
Tamala Patra Svarasa,Dysentery,"Pregnancy, Allergic Reactions, Liver Disease","Digestive, Antidiarrheal",Tamala Patra (Cinnamomum tamala leaf) extract,"Antioxidant, Anti-inflammatory, Antimicrobial"
Lajjalu Moola Svarasa,Vaginal Health,"Pregnancy, Allergic Reactions","Uterine Tonic, Astringent",Lajjalu Moola (Mimosa pudica root) extract,"Anti-inflammatory, Antimicrobial, Wound Healing"
Lajjalu Moola Svarasa,Leucorrhea,"Pregnancy, Allergic Reactions","Uterine Tonic, Astringent",Lajjalu Moola (Mimosa pudica root) extract,"Anti-inflammatory, Antimicrobial, Wound Healing"
Lajjalu Moola Svarasa,Menstrual Disorders,"Pregnancy, Allergic Reactions","Uterine Tonic, Astringent",Lajjalu Moola (Mimosa pudica root) extract,"Anti-inflammatory, Antimicrobial, Wound Healing"
Yava Svarasa,Digestive Disorders,"Pregnancy, Gluten Sensitivity","Digestive, Immunomodulatory",Yava (Hordeum vulgare) grass juice,"Antioxidant, Anti-inflammatory, Nutrient-Rich"
Yava Svarasa,Malabsorption,"Pregnancy, Gluten Sensitivity","Digestive, Immunomodulatory",Yava (Hordeum vulgare) grass juice,"Antioxidant, Anti-inflammatory, Nutrient-Rich"
Yava Svarasa,Immune Support,"Pregnancy, Gluten Sensitivity","Digestive, Immunomodulatory",Yava (Hordeum vulgare) grass juice,"Antioxidant, Anti-inflammatory, Nutrient-Rich"
Aparajita Moola Svarasa,Anxiety,"Pregnancy, Allergic Reactions","Anxiolytic, Sedative",Aparajita Moola (Clitoria ternatea root) extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Aparajita Moola Svarasa,Stress,"Pregnancy, Allergic Reactions","Anxiolytic, Sedative",Aparajita Moola (Clitoria ternatea root) extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Aparajita Moola Svarasa,Insomnia,"Pregnancy, Allergic Reactions","Anxiolytic, Sedative",Aparajita Moola (Clitoria ternatea root) extract,"Anti-inflammatory, Antioxidant, Immunomodulatory"
Kadamaba Moola Svarasa,Skin Disorders,"Pregnancy, Liver Disease","Antiseptic, Wound Healing",Kadamaba Moola (Neolamarckia cadamba root) extract,"Anti-inflammatory, Hepatoprotective, Immunomodulatory"
Kadamaba Moola Svarasa,Wound Healing,"Pregnancy, Liver Disease","Antiseptic, Wound Healing",Kadamaba Moola (Neolamarckia cadamba root) extract,"Anti-inflammatory, Hepatoprotective, Immunomodulatory"
Mudgaparni Svarasa,Joint Health,"Pregnancy, Kidney Disorders, Liver Disease","Anti-inflammatory, Muscle Relaxant",Mudgaparni (Vigna trilobata) leaf extract,"Antioxidant, Anti-inflammatory, Hepatoprotective"
Mudgaparni Svarasa,Rheumatism,"Pregnancy, Kidney Disorders, Liver Disease","Anti-inflammatory, Muscle Relaxant",Mudgaparni (Vigna trilobata) leaf extract,"Antioxidant, Anti-inflammatory, Hepatoprotective"
Mudgaparni Svarasa,Muscle Relaxation,"Pregnancy, Kidney Disorders, Liver Disease","Anti-inflammatory, Muscle Relaxant",Mudgaparni (Vigna trilobata) leaf extract,"Antioxidant, Anti-inflammatory, Hepatoprotective"
Chandan Svarasa,Skin Disorders,"Pregnancy, Allergic Reactions","Cooling, Antibacterial",Chandan (Santalum album) wood extract,"Anti-inflammatory, Astringent, Cooling"
Chandan Svarasa,Acne,"Pregnancy, Allergic Reactions","Cooling, Antibacterial",Chandan (Santalum album) wood extract,"Anti-inflammatory, Astringent, Cooling"
Chandan Svarasa,Cooling,"Pregnancy, Allergic Reactions","Cooling, Antibacterial",Chandan (Santalum album) wood extract,"Anti-inflammatory, Astringent, Cooling"
Ashoka Svarasa,Menstrual Disorders,"Pregnancy, Menstrual Disorders","Uterine Tonic, Hormonal Balance",Ashoka (Saraca asoca) bark extract,"Uterine Tonic, Hormone Regulation, Anti-inflammatory"
Ashoka Svarasa,Uterine Health,"Pregnancy, Menstrual Disorders","Uterine Tonic, Hormonal Balance",Ashoka (Saraca asoca) bark extract,"Uterine Tonic, Hormone Regulation, Anti-inflammatory"
Kushmanda Svarasa,Digestive Disorders,"Pregnancy, Allergic Reactions","Digestive, Respiratory Tonic",Kushmanda (Benincasa hispida) fruit extract,"Immunomodulatory, Antioxidant, Nutrient-Rich"
Kushmanda Svarasa,Respiratory Health,"Pregnancy, Allergic Reactions","Digestive, Respiratory Tonic",Kushmanda (Benincasa hispida) fruit extract,"Immunomodulatory, Antioxidant, Nutrient-Rich"
Bhumi Amalaki Svarasa,Liver Disorders,"Pregnancy, Liver Disease","Hepatoprotective, Digestive",Bhumi Amalaki (Phyllanthus niruri) plant extract,"Hepatoprotective, Antioxidant, Anti-inflammatory"
Bhumi Amalaki Svarasa,Digestive Health,"Pregnancy, Liver Disease","Hepatoprotective, Digestive",Bhumi Amalaki (Phyllanthus niruri) plant extract,"Hepatoprotective, Antioxidant, Anti-inflammatory"
Krishna Jeeraka Svarasa,Digestive Disorders,"Pregnancy, Allergic Reactions","Carminative, Digestive",Krishna Jeeraka (Carum carvi) seed extract,"Digestive Aid, Carminative, Antioxidant"
Krishna Jeeraka Svarasa,Colic,"Pregnancy, Allergic Reactions","Carminative, Digestive",Krishna Jeeraka (Carum carvi) seed extract,"Digestive Aid, Carminative, Antioxidant"
Krishna Jeeraka Svarasa,Gas,"Pregnancy, Allergic Reactions","Carminative, Digestive",Krishna Jeeraka (Carum carvi) seed extract,"Digestive Aid, Carminative, Antioxidant"
Gulab Svarasa,Skin Health,"Pregnancy, Allergic Reactions","Hydrating, Cooling",Gulab (Rosa damascena) flower extract,"Astringent, Anti-inflammatory, Skin Soothing"
Gulab Svarasa,Hydration,"Pregnancy, Allergic Reactions","Hydrating, Cooling",Gulab (Rosa damascena) flower extract,"Astringent, Anti-inflammatory, Skin Soothing"
Gulab Svarasa,Cooling,"Pregnancy, Allergic Reactions","Hydrating, Cooling",Gulab (Rosa damascena) flower extract,"Astringent, Anti-inflammatory, Skin Soothing"
Sariva Svarasa,Skin Disorders,"Pregnancy, Allergic Reactions, Liver Disease","Blood Cleanser, Cooling",Sariva (Hemidesmus indicus) root extract,"Cooling, Detoxifying, Anti-inflammatory"
Sariva Svarasa,Blood Purification,"Pregnancy, Allergic Reactions, Liver Disease","Blood Cleanser, Cooling",Sariva (Hemidesmus indicus) root extract,"Cooling, Detoxifying, Anti-inflammatory"
Sariva Moola Svarasa,Skin Disorders,"Pregnancy, Allergic Reactions, Liver Disease","Blood Cleanser, Cooling",Sariva Moola (Hemidesmus indicus root) extract,"Cooling, Detoxifying, Anti-inflammatory"
Sariva Moola Svarasa,Blood Purification,"Pregnancy, Allergic Reactions, Liver Disease","Blood Cleanser, Cooling",Sariva Moola (Hemidesmus indicus root) extract,"Cooling, Detoxifying, Anti-inflammatory"
Triphala Patra Svarasa,Digestive Health,"Pregnancy, Diarrhea, Hypoglycemia","Digestive, Mild Laxative","Triphala Patra (Amla, Haritaki, Bibhitaki leaf) extract","Digestive Tonic, Laxative, Antioxidant"
Triphala Patra Svarasa,Detoxification,"Pregnancy, Diarrhea, Hypoglycemia","Digestive, Mild Laxative","Triphala Patra (Amla, Haritaki, Bibhitaki leaf) extract","Digestive Tonic, Laxative, Antioxidant"
Khadira Kanda Svarasa,Oral Health,"Pregnancy, Hypoglycemia","Astringent, Digestive",Khadira Kanda (Acacia catechu stem) extract,"Astringent, Antimicrobial, Anti-inflammatory"
Khadira Kanda Svarasa,Gum Problems,"Pregnancy, Hypoglycemia","Astringent, Digestive",Khadira Kanda (Acacia catechu stem) extract,"Astringent, Antimicrobial, Anti-inflammatory"
Khadira Kanda Svarasa,Digestive Health,"Pregnancy, Hypoglycemia","Astringent, Digestive",Khadira Kanda (Acacia catechu stem) extract,"Astringent, Antimicrobial, Anti-inflammatory"
Atibala Svarasa,Muscle Strength,"Pregnancy, Allergic Reactions","Muscle Tonic, Rejuvenative",Atibala (Abutilon indicum) root extract,"Immunomodulatory, Anti-inflammatory, Aphrodisiac"
Atibala Svarasa,Weakness,"Pregnancy, Allergic Reactions","Muscle Tonic, Rejuvenative",Atibala (Abutilon indicum) root extract,"Immunomodulatory, Anti-inflammatory, Aphrodisiac"
Atibala Svarasa,General Health,"Pregnancy, Allergic Reactions","Muscle Tonic, Rejuvenative",Atibala (Abutilon indicum) root extract,"Immunomodulatory, Anti-inflammatory, Aphrodisiac"
Krishna Tulsi Svarasa,Cough,"Pregnancy, Allergic Reactions","Antimicrobial, Immunomodulatory",Krishna Tulsi (Ocimum sanctum) leaf extract,"Adaptogenic, Antioxidant, Immunomodulatory"
Krishna Tulsi Svarasa,Cold,"Pregnancy, Allergic Reactions","Antimicrobial, Immunomodulatory",Krishna Tulsi (Ocimum sanctum) leaf extract,"Adaptogenic, Antioxidant, Immunomodulatory"
Krishna Tulsi Svarasa,Respiratory Infections,"Pregnancy, Allergic Reactions","Antimicrobial, Immunomodulatory",Krishna Tulsi (Ocimum sanctum) leaf extract,"Adaptogenic, Antioxidant, Immunomodulatory"
Bakula Svarasa,Skin Disorders,"Pregnancy, Liver Disease","Antiseptic, Wound Healing",Bakula (Mimusops elengi) flower extract,"Hepatoprotective, Anti-inflammatory, Analgesic"
Bakula Svarasa,Wound Healing,"Pregnancy, Liver Disease","Antiseptic, Wound Healing",Bakula (Mimusops elengi) flower extract,"Hepatoprotective, Anti-inflammatory, Analgesic"
Kala Jeera Svarasa,Digestive Disorders,"Pregnancy, Allergic Reactions, Bleeding Disorders","Carminative, Digestive",Kala Jeera (Carum carvi) seed extract,"Digestive Aid, Carminative, Antioxidant"
Kala Jeera Svarasa,Gas,"Pregnancy, Allergic Reactions, Bleeding Disorders","Carminative, Digestive",Kala Jeera (Carum carvi) seed extract,"Digestive Aid, Carminative, Antioxidant"
Kala Jeera Svarasa,Bloating,"Pregnancy, Allergic Reactions, Bleeding Disorders","Carminative, Digestive",Kala Jeera (Carum carvi) seed extract,"Digestive Aid, Carminative, Antioxidant"
Harad Svarasa,Digestive Disorders,"Pregnancy, Allergic Reactions","Laxative, Digestive",Harad (Terminalia chebula) fruit extract,"Digestive Aid, Laxative, Antioxidant"
Harad Svarasa,Constipation,"Pregnancy, Allergic Reactions","Laxative, Digestive",Harad (Terminalia chebula) fruit extract,"Digestive Aid, Laxative, Antioxidant"
Pipala Svarasa,Digestive Disorders,"Pregnancy, Allergic Reactions","Digestive, Respiratory Tonic",Pipala (Piper longum) fruit extract,"Digestive Aid, Carminative, Anti-inflammatory"
Pipala Svarasa,Respiratory Health,"Pregnancy, Allergic Reactions","Digestive, Respiratory Tonic",Pipala (Piper longum) fruit extract,"Digestive Aid, Carminative, Anti-inflammatory"
Manjishta Svarasa,Skin Disorders,"Pregnancy, Allergic Reactions, Kidney Disorders","Blood Cleanser, Skin Rejuvenation",Manjishta (Rubia cordifolia) root extract,"Anti-inflammatory, Blood Purifier, Wound Healing"
Manjishta Svarasa,Blood Purification,"Pregnancy, Allergic Reactions, Kidney Disorders","Blood Cleanser, Skin Rejuvenation",Manjishta (Rubia cordifolia) root extract,"Anti-inflammatory, Blood Purifier, Wound Healing"
Agni Svarasa,Digestive Disorders,Not recommended during pregnancy and lactation,"Digestive, Metabolic Booster",Agni (Various herbs) blend extract,Mode of action may vary depending on its use
Agni Svarasa,Metabolism Boost,Not recommended during pregnancy and lactation,"Digestive, Metabolic Booster",Agni (Various herbs) blend extract,Mode of action may vary depending on its use
Gandira Svarasa,Joint Pain,Avoid in individuals with allergies to the plant,"Analgesic, Muscle Relaxant",Gandira (Various herbs) blend extract,May have anti-inflammatory and analgesic properties
Gandira Svarasa,Inflammation,Avoid in individuals with allergies to the plant,"Analgesic, Muscle Relaxant",Gandira (Various herbs) blend extract,May have anti-inflammatory and analgesic properties
Gandira Svarasa,Muscle Relaxation,Avoid in individuals with allergies to the plant,"Analgesic, Muscle Relaxant",Gandira (Various herbs) blend extract,May have anti-inflammatory and analgesic properties
Vatika Svarasa,Digestive Disorders,Not recommended for people with liver disorders,"Carminative, Digestive",Vatika (Various herbs) blend extract,May support digestive health
Vatika Svarasa,Gas,Not recommended for people with liver disorders,"Carminative, Digestive",Vatika (Various herbs) blend extract,May support digestive health
Vatika Svarasa,Bloating,Not recommended for people with liver disorders,"Carminative, Digestive",Vatika (Various herbs) blend extract,May support digestive health
Shalaparni Svarasa,Joint Health,Use with caution in individuals with bleeding disorders,"Anti-inflammatory, Muscle Relaxant",Shalaparni (Desmodium gangeticum) leaf extract,May have anti-inflammatory properties
Shalaparni Svarasa,Rheumatism,Use with caution in individuals with bleeding disorders,"Anti-inflammatory, Muscle Relaxant",Shalaparni (Desmodium gangeticum) leaf extract,May have anti-inflammatory properties
Shalaparni Svarasa,Muscle Relaxation,Use with caution in individuals with bleeding disorders,"Anti-inflammatory, Muscle Relaxant",Shalaparni (Desmodium gangeticum) leaf extract,May have anti-inflammatory properties
Prishnaparni Svarasa,Joint Health,Avoid in individuals with kidney problems,"Anti-inflammatory, Muscle Relaxant",Prishnaparni (Uraria picta) leaf extract,May have diuretic properties
Prishnaparni Svarasa,Rheumatism,Avoid in individuals with kidney problems,"Anti-inflammatory, Muscle Relaxant",Prishnaparni (Uraria picta) leaf extract,May have diuretic properties
Prishnaparni Svarasa,Muscle Relaxation,Avoid in individuals with kidney problems,"Anti-inflammatory, Muscle Relaxant",Prishnaparni (Uraria picta) leaf extract,May have diuretic properties
Bilwa Patra Moola Svarasa,Digestive Disorders,Not recommended for people with constipation,"Astringent, Anti-diarrheal",Bilwa Patra Moola (Aegle marmelos leaf) extract,May have digestive benefits
